0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,Carbon steel,Smls. tube,SA–210,A–1,K02707,,,1.0,1.0,415,255.0,538,371,538,343,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Smls. tube,SA–556,B2,K02707,,,1.0,1.0,415,255.0,NP,NP,538,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–557,B2,K03007,,,1.0,1.0,415,255.0,NP,NP,538,343,CS–2,"G24,","T1,",W6,101,101,101,101,101,101.0,101.0,101.0,101.0,99.7,89.7,75.9,64.1,53.3,38.6,26.8,18.6,10.5,,,,,,,,,,,,,,,
,Carbon steel,"Plate, bar",SA/CSA–G40.21,38W,,,,1.0,1.0,415,260.0,NP,NP,343,343,CS–2,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,
(23),Carbon steel,"Plate, sheet, bar",SA–572,42,,,t ≤ 150,,,415,290.0,NP,NP,316,316,CS–3,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,(23)
(23),Carbon steel,"Sheet, strip",SA–1011,45,HSLAS,1,,,,410,310.0,NP,NP,316,316,CS–3,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,(23)
(23),Carbon steel,"Sheet, strip",SA–1011,45,SS,,t ≤ 6,,,410,310.0,NP,NP,316,316,CS–3,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,(23)
(23),Carbon steel,"Sheet, strip",SA–1011,50,HSLAS,2,,,,410,340.0,NP,NP,316,316,CS–3,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,(23)
,Carbon steel,Plate,SA/AS 1548,PT430N,,Normalized,≤150,1.0,1.0,430,,538,NP,538,NP,CS–2,"G10,","G18, S1, T1","G18, S1, T1",123,123,123,123,123,123.0,123.0,123.0,123.0,123.0,114.0,95.0,79.6,63.2,45.3,31.7,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/AS 1548,PT430NR,,Norm. rld.,≤150,1.0,1.0,430,,538,NP,538,NP,CS–2,"G10,","G18, S1, T1","G18, S1, T1",123,123,123,123,123,123.0,123.0,123.0,123.0,123.0,114.0,95.0,79.6,63.2,45.3,31.7,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/EN 10028–2,P295GH,,,150 < t ≤ 250,1.0,1.0,430,220.0,454,NP,538,NP,CS–2,"G10,","S1, T2","S1, T2",123,123,123,123,123,123.0,121.0,114.0,111.0,108.0,105.0,96.2,79.1,62.1,46.0,32.1,21.2,14.4,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA/EN 10028–2,P295GH,,,100 < t ≤ 150,1.0,1.0,440,235.0,454,NP,538,NP,CS–2,"G10,","S1, T2","S1, T2",126,126,126,126,126,126.0,126.0,122.0,119.0,115.0,112.0,96.2,79.1,62.1,46.0,32.1,21.2,14.4,,,,,,,,,,,,,,,
,Carbon steel,Bar,SA–675,65,,,,1.0,1.0,450,225.0,454,343 (Cl. 3 only),538,343,CS–2,"G10,","G15, G22, S1, T2","G15, G22, S1, T2",128,128,128,128,128,128.0,123.0,117.0,113.0,110.0,106.0,95.2,79.6,63.8,39.2,30.1,22.4,12.5,,,,,,,,,,,,,,,
